,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,日,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),雪(cm),天気概況,,,,,,,,,,,,
1,現地,海面,,,,,,,,,,,,,,,,,,,
2,平均,平均,合計,最大,平均,最高,最低,平均,最小,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,昼(06:00-18:00),夜(18:00-翌日06:00),,,,,
3,1時間,10分間,風速,風向,風速,風向,合計,値,,,,,,,,,,,,,
4,1,1007.0,1010.2,0.5,0.5,0.5,-0.8,0.8,-3.1,59,43,3.3,9.3,北西,16.3,北北西,1.2,0,19.0,曇一時雪,曇時々雪
5,2,1008.1,1011.4,1.0,1.0,0.5,-1.5,0.6,-4.3,77,52,1.6,3.8,西北西,7.1,西北西,1.5,6,22.0,雪一時晴,曇時々雪
6,3,1008.6,1011.9,1.0,0.5,0.5,-1.7,0.8,-3.9,70,45,2.4,6.8,北西,12.2,西北西,0.8,0,22.0,曇時々雪,曇時々雪
7,4,1016.8,1020.1,1.0,0.5,0.5,-2.0,0.2,-4.4,55,33,3.7,8.9,西北西,18.1,西北西,5.8,2,22.0,雪後晴,晴一時雪
8,5,1019.2,1022.5,0.0,0.0,0.0,-2.5,0.0,-5.2,50,34,4.1,7.6,北西,14.5,西北西,5.7,0,21.0,晴一時雪,雪時々曇
9,6,1018.9,1022.2,1.0,0.5,0.5,-4.5,-1.8,-8.1,64,39,2.6,8.4,北北西,13.9,北北西,4.1,1,23.0,雪後晴,晴一時雪
10,7,1016.9,1020.2,1.0,2.0,0.5,-4.5,-0.7,-9.9,64,44,2.0,5.4,南南東,7.7,南南東,7.2,0,23.0,晴,薄曇後大雪
11,8,1006.5,1009.7,20.0,5.0,1.5,-1.1,1.6,-5.0,79,58,5.4,11.5,北西,23.8,北北西,--,25,44.0,雪一時曇,晴後雪
12,9,1021.0,1024.3,14.5,3.5,1.0,-2.3,0.5,-7.0,75,49,3.0,7.9,北西,13.8,北西,3.8,32,67.0,大雪後晴,晴後曇
