,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,日,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),雪(cm),天気概況,,,,,,,,,,,,
1,現地,海面,,,,,,,,,,,,,,,,,,,
2,平均,平均,合計,最大,平均,最高,最低,平均,最小,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,昼(06:00-18:00),夜(18:00-翌日06:00),,,,,
3,1時間,10分間,風速,風向,風速,風向,合計,値,,,,,,,,,,,,,
4,1,1012.5,1015.8,2.0,1.0,0.5,-0.3,2.0,-4.5,78,65,4.4,11.2,南南東,16.9,南南東,0.0,--,54,曇後雪一時みぞれ,雪時々みぞれ
5,2,1000.5,1003.8,8.0,1.5,0.5,1.5,4.1,-0.2,76,49,6.1,14.1,北西,23.0,西北西,0.9,4,55,雪一時みぞれ、あられを伴う,曇時々雪後一時晴
6,3,1013.3,1016.6,0.0,0.0,0.0,2.3,5.1,-1.2,53,34,3.1,8.2,西北西,13.4,西北西,6.4,--,54,晴時々曇,曇
7,4,1003.0,1006.3,6.0,1.5,0.5,1.0,2.2,-0.2,85,66,2.5,8.6,南南東,13.1,南南東,0.0,6,57,雪一時みぞれ,雪一時曇
8,5,1009.7,1013.0,5.0,1.0,0.5,0.8,2.3,-0.6,81,62,3.6,8.4,北北西,15.0,北北西,0.5,4,60,曇一時雪,雪一時曇
9,6,1021.8,1025.1,1.0,0.5,0.5,1.4,4.8,-2.3,74,48,2.2,7.2,南南東,10.3,南南東,5.9,2,59,晴後曇時々みぞれ,晴後雪
10,7,1022.3,1025.6,3.0,0.5,0.5,1.5,2.3,0.2,85,75,5.1,8.3,南南東,12.0,南南東,0.0,2,56,雪,雨時々みぞれ後晴
11,8,1023.3,1026.6,0.5,0.5,0.5,3.2,7.1,-1.0,66,38,1.8,4.9,南南東,6.8,南,10.7,--,53,晴時々薄曇,晴
12,9,1015.6,1018.9,6.5,3.0,1.0,4.7,6.9,-0.1,74,52,7.2,12.3,南南東,19.1,南南東,0.1,--,51,曇時々雨,雨
