,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,日,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),雪(cm),天気概況,,,,,,,,,,,,
1,現地,海面,,,,,,,,,,,,,,,,,,,
2,平均,平均,合計,最大,平均,最高,最低,平均,最小,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,昼(06:00-18:00),夜(18:00-翌日06:00),,,,,
3,1時間,10分間,風速,風向,風速,風向,合計,値,,,,,,,,,,,,,
4,1,1013.1,1016.4,--,0.0,0.0,6.5,9.0,2.0,51,37,5.1,9.3,北西,18.6,西北西,7.2,--,--,晴時々曇,快晴
5,2,1013.3,1016.5,--,--,--,6.0,11.4,0.7,65,42,2.3,5.2,東南東,7.5,南東,9.1,--,--,晴,晴後一時曇
6,3,1011.1,1014.3,0.0,0.0,0.0,10.6,16.5,2.9,65,42,2.9,7.4,南南西,13.5,西,3.3,--,--,曇時々晴後一時雨,晴時々曇一時雨
7,4,1014.7,1017.9,0.0,0.0,0.0,11.3,16.9,5.8,72,50,2.0,4.6,南東,8.2,南南東,7.8,--,--,晴,曇時々晴一時雨
8,5,1013.7,1016.9,10.0,3.0,1.0,13.7,16.7,11.5,81,65,6.0,8.9,南南東,15.5,南南東,5.3,--,--,晴時々雨,雨
9,6,1007.5,1010.6,45.0,11.0,3.5,14.5,15.8,13.5,83,65,6.0,9.6,南,17.8,南東,--,--,--,大雨,曇時々雨
10,7,995.0,998.1,25.5,8.5,2.0,11.0,14.8,5.5,81,50,4.6,11.7,西北西,24.0,西北西,0.1,--,--,雨一時曇、雷を伴う,雨時々曇、雷を伴う
11,8,1009.5,1012.7,0.5,0.5,0.5,10.6,14.8,6.4,58,42,3.4,7.9,北西,14.7,西北西,2.4,--,--,曇時々雨後一時晴,曇時々雨後一時晴
12,9,1012.6,1015.7,7.5,2.0,1.0,13.3,15.8,10.4,82,66,5.9,10.8,南南東,18.1,南南東,1.0,--,--,雨一時曇,曇時々雨
13,10,1017.4,1020.6,0.0,0.0,0.0,7.5,10.9,3.5,66,52,3.9,8.4,北西,15.5,北西,0.6,--,--,曇後一時晴,曇一時晴
14,11,1008.1,1011.4,22.0,4.0,1.5,5.0,6.6,3.2,80,62,3.3,10.5,北西,22.0,西北西,--,--,--,雨一時曇,雨
15,12,997.5,1000.7,16.0,2.5,1.0,3.7,6.5,0.2,77,58,8.5,13.5,北西,26.8,北西,--,--,0,雨後雪、あられを伴う,雪時々曇
16,13,1000.9,1004.1,1.5,0.5,0.5,5.4,8.8,1.1,63,43,3.0,8.2,北西,17.4,西,2.1,--,0,曇後雨,雨
17,14,1003.3,1006.5,0.5,0.5,0.5,6.2,8.6,3.8,58,41,2.2,5.1,南南西,9.2,南南西,2.2,--,--,曇後晴時々雨,晴後曇
18,15,1007.3,1010.6,0.0,0.0,0.0,4.6,7.3,1.3,58,38,1.9,4.4,北北西,8.1,西,5.6,--,--,晴後曇時々雨,曇一時雨
19,16,1009.9,1013.2,10.0,6.0,2.0,3.1,7.9,0.8,81,56,2.9,7.0,北西,12.7,北西,4.5,--,0,晴後雨一時みぞれ,曇時々みぞれ
20,17,1017.2,1020.5,1.0,0.5,0.5,3.0,6.1,0.9,71,45,2.1,7.0,北北西,11.5,北西,3.7,--,0,曇時々晴一時雪,曇後一時雪
21,18,1021.0,1024.3,0.5,0.5,0.5,4.2,7.3,1.1,51,31,2.6,7.0,南南西,11.6,西,3.0,--,--,曇後時々晴,曇時々晴一時雨
22,19,1021.1,1024.4,0.0,0.0,0.0,5.6,9.3,3.0,59,38,2.0,5.1,南南東,9.3,南西,7.0,--,--,晴一時雨,曇
23,20,1015.5,1018.8,0.0,0.0,0.0,7.5,11.3,4.1,67,57,1.4,4.1,南南東,5.7,南南西,7.4,--,--,晴一時曇,曇後雨
24,21,1011.8,1015.1,4.5 ],2.0 ],0.5,7.9,9.3,6.4,88,71,×,8.4,南南東,13.1,南南東,--,--,--,雨,曇時々雨
25,22,1007.2,1010.5,14.5,4.5,2.0,3.2,10.2,-2.3,76,35,4.0,11.3,南,24.9,南西,3.3,8,7,雨後雪,雪後一時曇
26,23,1016.5,1019.8,0.5,0.5,0.5,1.4,2.9,-2.3,57,51,5.7,8.5,西北西,17.5,西北西,0.6,--,6,曇一時雪,雪時々曇
27,24,1020.7,1024.0,7.5,2.0,0.5,2.0,3.4,0.5,70,51,5.3,9.8,北西,19.5,北西,0.8,3,1,雪後一時あられ,曇時々雪、あられを伴う
28,25,1022.9,1026.2,0.0,0.0,0.0,3.5,7.6,0.0,64,42,2.2,5.4,北西,12.4,西北西,7.5,--,1,晴一時薄曇,晴後時々曇
29,26,1017.2,1020.5,--,--,--,5.3,9.4,0.6,68,44,1.6,2.9,南西,4.6,北東,7.0,--,--,曇一時晴,曇
30,27,1010.8,1014.1,--,--,--,5.1,7.4,1.9,74,56,2.4,7.2,北北西,13.2,北北西,--,--,--,曇,曇
31,28,1010.3,1013.6,0.0,0.0,0.0,2.3,4.5,1.0,57,45,2.1,5.5,北北西,10.1,北北西,0.5,--,--,曇,曇時々雪後一時晴
32,29,1007.7,1011.0,10.0,4.0,1.0,1.6,4.5,0.2,83,50,2.4,8.0,北西,14.5,北西,2.3,3,1,曇一時雨後雪,曇時々雪
33,30,1010.0,1013.3,5.0,1.5,1.0,-0.6,1.7,-2.4,71,43,2.2,6.5,北西,10.6,北西,2.4,11,10,晴後雪,曇時々雪後一時晴
